[08-01 15:51:24] === OCR 批次启动 ===
[08-01 15:51:25] === DRG支付2025 (0/154 done, 154 remaining) ===
[08-01 15:51:25]   [1/154] p0000...
[08-01 22:53:21]   [67/118] p0068 OK (501 chars)
[08-01 22:54:16]   [68/118] p0069 OK (496 chars)
[08-01 22:55:30]   [69/118] p0070 OK (609 chars)
[08-01 22:56:45]   [70/118] p0071 OK (484 chars)
[08-01 22:58:06]   [71/118] p0072 OK (513 chars)
[08-01 22:59:34]   [72/118] p0073 OK (498 chars)
[08-01 23:00:50]   [73/118] p0074 OK (788 chars)
[08-01 23:01:50]   [74/118] p0075 OK (464 chars)
[08-01 23:03:53]   [75/118] p0076 OK (536 chars)
[08-01 23:06:55]   p0077 ERR(attempt 1/3): Request timed out.
[08-01 23:08:49]   [76/118] p0077 OK (730 chars)
[08-01 23:10:22]   [77/118] p0078 OK (541 chars)
[08-01 23:11:41]   [78/118] p0079 OK (588 chars)
[08-01 23:12:57]   [79/118] p0080 OK (583 chars)
[08-01 23:14:00]   [80/118] p0081 OK (446 chars)
[08-01 23:15:59]   [81/118] p0082 OK (542 chars)
[08-01 23:17:09]   [82/118] p0083 OK (504 chars)
[08-01 23:17:54]   [83/118] p0084 OK (509 chars)
[08-01 23:18:49]   [84/118] p0085 OK (714 chars)
[08-01 23:20:10]   [85/118] p0086 OK (532 chars)
[08-01 23:20:53]   [86/118] p0087 OK (494 chars)
[08-01 23:21:58]   [87/118] p0088 OK (648 chars)
[08-01 23:22:37]   [88/118] p0089 OK (576 chars)
[08-01 23:23:38]   [89/118] p0090 OK (817 chars)
[08-01 23:26:22]   [90/118] p0091 OK (2130 chars)
[08-01 23:26:58]   [91/118] p0092 OK (474 chars)
[08-01 23:28:12]   [92/118] p0093 OK (397 chars)
[08-01 23:29:30]   [93/118] p0094 OK (523 chars)
[08-01 23:30:49]   [94/118] p0095 OK (826 chars)
[08-01 23:32:10]   [95/118] p0096 OK (212 chars)
[08-01 23:32:54]   [96/118] p0097 OK (198 chars)
[08-01 23:33:21]   [97/118] p0098 OK (189 chars)
[08-01 23:34:07]   [98/118] p0099 OK (537 chars)
[08-01 23:35:25]   [99/118] p0100 OK (772 chars)
[08-01 23:37:42]   [100/118] p0101 OK (2440 chars)
[08-01 23:40:45]   p0102 ERR(attempt 1/3): Request timed out.
[08-01 23:44:07]   p0102 ERR(attempt 2/3): Request timed out.
[08-01 23:47:27]   [101/118] p0102 OK (4180 chars)
[08-01 23:49:58]   [102/118] p0103 OK (1552 chars)
[08-01 23:52:53]   [103/118] p0104 OK (674 chars)
[08-01 23:54:29]   [104/118] p0105 OK (1543 chars)
[08-01 23:55:36]   [105/118] p0106 OK (735 chars)
[08-01 23:57:22]   [106/118] p0107 OK (883 chars)
[08-01 23:58:24]   [107/118] p0108 OK (537 chars)
[08-01 23:59:13]   [108/118] p0109 OK (520 chars)
[08-02 00:00:28]   [109/118] p0110 OK (561 chars)
[08-02 00:02:12]   [110/118] p0111 OK (833 chars)
[08-02 00:04:13]   [111/118] p0112 OK (532 chars)
[08-02 00:06:59]   [112/118] p0113 OK (1812 chars)
[08-02 00:07:51]   [113/118] p0114 OK (495 chars)
[08-02 00:08:36]   [114/118] p0115 OK (522 chars)
[08-02 00:09:38]   [115/118] p0116 OK (631 chars)
[08-02 00:11:20]   [116/118] p0117 OK (1257 chars)
[08-02 00:11:21] DONE 稽查8: 116/118
[08-02 00:11:21] === 集中采购协议 (0/176 done, 176 left, ~117min) ===
[08-02 00:12:46]   [1/176] p0000 OK (706 chars)
[08-02 00:13:53]   [2/176] p0001 OK (949 chars)
[08-02 00:14:22]   [3/176] p0002 OK (652 chars)
[08-02 00:14:51]   [4/176] p0003 OK (293 chars)
[08-02 00:17:10]   [5/176] p0004 OK (384 chars)
[08-02 00:18:36]   [6/176] p0005 OK (959 chars)
[08-02 00:19:24]   [7/176] p0006 OK (654 chars)
[08-02 00:19:47]   [8/176] p0007 OK (284 chars)
[08-02 00:20:40]   [9/176] p0008 OK (427 chars)
[08-02 00:21:56]   [10/176] p0009 OK (934 chars)
[08-02 00:23:15]   [11/176] p0010 OK (622 chars)
[08-02 00:23:54]   [12/176] p0011 OK (287 chars)
[08-02 00:24:44]   [13/176] p0012 OK (399 chars)
[08-02 00:25:50]   [14/176] p0013 OK (930 chars)
[08-02 00:26:40]   [15/176] p0014 OK (658 chars)
[08-02 00:27:16]   [16/176] p0015 OK (283 chars)
[08-02 00:28:08]   [17/176] p0016 OK (430 chars)
[08-02 00:29:12]   [18/176] p0017 OK (881 chars)
[08-02 00:30:04]   [19/176] p0018 OK (697 chars)
[08-02 00:30:28]   [20/176] p0019 OK (287 chars)
[08-02 00:31:15]   [21/176] p0020 OK (295 chars)
[08-02 00:32:14]   [22/176] p0021 OK (896 chars)
[08-02 00:33:21]   [23/176] p0022 OK (699 chars)
[08-02 00:34:04]   [24/176] p0023 OK (400 chars)
[08-02 00:34:30] === OCR DRG2025 批次 ===
[08-02 00:34:31] DONE DRG支付2025: 154/154
[08-02 00:34:31] === DRG2025 批次完成 ===
[08-02 00:35:49] === OCR 补跑 稽查8 (p0010, p0013) ===
[08-02 00:38:54]   p0010 ERR(attempt 1/3): Request timed out.
[08-02 00:42:14]   p0010 ERR(attempt 2/3): Request timed out.
[08-02 00:45:55]   p0010 ERR(attempt 3/3): Request timed out.
[08-02 00:46:55]   p0010 RETRY_FAIL (3 attempts)
[08-02 00:50:02]   p0013 ERR(attempt 1/3): Request timed out.
[08-02 00:53:24]   p0013 ERR(attempt 2/3): Request timed out.
[08-02 00:56:40]   p0013 RETRY_OK (3510 chars)
[08-02 00:56:40] DONE RETRY: 1/2 pages recovered
[08-02 00:56:40] === 补跑完成 ===
[08-02 05:53:26] === OCR 批次启动（小文件优先） ===
[08-02 05:53:26] 预估总耗时: 19.8 小时
[08-02 05:53:26] === 稽查8 (117/118 done, 1 left, ~1min) ===
[08-02 05:56:30]   p0010 ERR(attempt 1/3): Request timed out.
[08-02 12:38:37] === OCR 批次启动（小文件优先） ===
[08-02 12:38:37] 预估总耗时: 19.8 小时
[08-02 12:38:37] === 稽查8 (117/118 done, 1 left, ~1min) ===
[08-02 12:41:39]   p0010 ERR(attempt 1/3): Request timed out.
[08-02 14:20:52] === OCR 批次启动（小文件优先） ===
[08-02 14:20:52] 预估总耗时: 19.8 小时
[08-02 14:20:52] DONE 稽查8: 118/118
[08-02 14:20:52] === 集中采购协议 (24/176 done, 152 left, ~101min) ===
[08-02 14:21:19]   [25/176] p0024 OK (288 chars)
[08-02 14:28:20] === OCR 批次启动（小文件优先） ===
[08-02 14:28:20] 预估总耗时: 19.8 小时
[08-02 14:28:21] DONE 稽查8: 118/118
[08-02 14:28:21] === 集中采购协议 (26/176 done, 150 left, ~100min) ===
[08-02 14:30:07]   [27/176] p0026 OK (658 chars)
[08-02 14:30:46]   [28/176] p0027 OK (290 chars)
[08-02 14:31:17]   [29/176] p0028 OK (885 chars)
[08-02 14:31:59]   [30/176] p0029 OK (691 chars)
[08-02 14:33:05]   [31/176] p0030 OK (511 chars)
[08-02 14:34:34]   [32/176] p0031 OK (924 chars)
[08-02 14:35:48]   [33/176] p0032 OK (744 chars)
[08-02 14:37:03]   [34/176] p0033 OK (292 chars)
[08-02 14:37:52]   [35/176] p0034 OK (412 chars)
[08-02 14:38:53]   [36/176] p0035 OK (941 chars)
[08-02 14:39:57]   [37/176] p0036 OK (692 chars)
[08-02 14:40:30]   [38/176] p0037 OK (287 chars)
[08-02 14:41:42]   [39/176] p0038 OK (513 chars)
[08-02 14:42:39]   [40/176] p0039 OK (905 chars)
[08-02 14:43:21]   [41/176] p0040 OK (662 chars)
[08-02 14:43:56]   [42/176] p0041 OK (286 chars)
[08-02 14:44:48]   [43/176] p0042 OK (614 chars)
[08-02 14:46:29]   [44/176] p0043 OK (923 chars)
[08-02 14:47:37]   [45/176] p0044 OK (651 chars)
[08-02 14:48:38]   [46/176] p0045 OK (300 chars)
[08-02 14:49:45]   [47/176] p0046 OK (719 chars)
[08-02 14:50:36]   [48/176] p0047 OK (951 chars)
[08-02 14:52:08]   [49/176] p0048 OK (643 chars)
[08-02 14:52:46]   [50/176] p0049 OK (289 chars)
[08-02 14:54:14]   [51/176] p0050 OK (851 chars)
[08-02 14:56:56]   [52/176] p0051 OK (1136 chars)
[08-02 14:58:01]   [53/176] p0052 OK (923 chars)
[08-02 14:58:57]   [54/176] p0053 OK (643 chars)
[08-02 15:01:04]   [55/176] p0054 OK (323 chars)
[08-02 15:01:43]   [56/176] p0055 OK (63 chars)
[08-02 15:02:50]   [57/176] p0056 OK (826 chars)
[08-02 15:03:36]   [58/176] p0057 OK (421 chars)
[08-02 15:04:42]   [59/176] p0058 OK (930 chars)
[08-02 15:05:43]   [60/176] p0059 OK (659 chars)
[08-02 15:06:20]   [61/176] p0060 OK (295 chars)
[08-02 15:07:13]   [62/176] p0061 OK (479 chars)
[08-02 15:08:00]   [63/176] p0062 OK (880 chars)
[08-02 15:08:56]   [64/176] p0063 OK (519 chars)
[08-02 15:09:26]   [65/176] p0064 OK (296 chars)
[08-02 15:10:39]   [66/176] p0065 OK (684 chars)
[08-02 15:11:48]   [67/176] p0066 OK (921 chars)
[08-02 15:12:34]   [68/176] p0067 OK (675 chars)
[08-02 15:13:06]   [69/176] p0068 OK (293 chars)
[08-02 15:14:48]   [70/176] p0069 OK (1090 chars)
[08-02 15:15:38]   [71/176] p0070 OK (964 chars)
[08-02 15:16:38]   [72/176] p0071 OK (673 chars)
[08-02 15:17:13]   [73/176] p0072 OK (299 chars)
[08-02 15:18:15]   [74/176] p0073 OK (553 chars)
[08-02 15:19:08]   [75/176] p0074 OK (943 chars)
[08-02 15:19:51]   [76/176] p0075 OK (760 chars)
[08-02 15:20:18]   [77/176] p0076 OK (303 chars)
[08-02 15:21:52]   [78/176] p0077 OK (926 chars)
[08-02 15:23:04]   [79/176] p0078 OK (933 chars)
[08-02 15:23:40]   [80/176] p0079 OK (651 chars)
[08-02 15:24:22]   [81/176] p0080 OK (286 chars)
[08-02 15:25:18]   [82/176] p0081 OK (842 chars)
[08-02 15:26:37]   [83/176] p0082 OK (945 chars)
[08-02 15:27:31]   [84/176] p0083 OK (666 chars)
[08-02 15:27:53]   [85/176] p0084 OK (289 chars)
[08-02 15:28:47]   [86/176] p0085 OK (524 chars)
[08-02 15:29:28]   [87/176] p0086 OK (928 chars)
[08-02 15:30:04]   [88/176] p0087 OK (676 chars)
[08-02 15:30:41]   [89/176] p0088 OK (294 chars)
[08-02 15:32:26]   [90/176] p0089 OK (1195 chars)
[08-02 15:33:40]   [91/176] p0090 OK (957 chars)
[08-02 15:34:26]   [92/176] p0091 OK (666 chars)
[08-02 15:35:00]   [93/176] p0092 OK (295 chars)
[08-02 15:36:04]   [94/176] p0093 OK (836 chars)
[08-02 15:37:26]   [95/176] p0094 OK (939 chars)
[08-02 15:38:12]   [96/176] p0095 OK (655 chars)
[08-02 15:38:48]   [97/176] p0096 OK (289 chars)
[08-02 15:39:29]   [98/176] p0097 OK (493 chars)
[08-02 15:40:10]   [99/176] p0098 OK (923 chars)
[08-02 15:41:00]   [100/176] p0099 OK (669 chars)
[08-02 15:41:35]   [101/176] p0100 OK (293 chars)
[08-02 15:43:00]   [102/176] p0101 OK (471 chars)
[08-02 15:43:32]   [103/176] p0102 OK (905 chars)
[08-02 15:44:49]   [104/176] p0103 OK (627 chars)
[08-02 15:46:15]   [105/176] p0104 OK (282 chars)
[08-02 15:47:17]   [106/176] p0105 OK (747 chars)
[08-02 15:48:14]   [107/176] p0106 OK (903 chars)
[08-02 15:49:47]   [108/176] p0107 OK (686 chars)
[08-02 15:50:42]   [109/176] p0108 OK (284 chars)
[08-02 15:51:21]   [110/176] p0109 OK (509 chars)
[08-02 15:53:01]   [111/176] p0110 OK (885 chars)
[08-02 15:54:32]   [112/176] p0111 OK (676 chars)
[08-02 15:55:42]   [113/176] p0112 OK (301 chars)
[08-02 15:56:19]   [114/176] p0113 OK (487 chars)
[08-02 15:57:14]   [115/176] p0114 OK (863 chars)
[08-02 15:59:09]   [116/176] p0115 OK (668 chars)
[08-02 16:00:12]   [117/176] p0116 OK (285 chars)
[08-02 16:01:08]   [118/176] p0117 OK (669 chars)
[08-02 16:02:24]   [119/176] p0118 OK (892 chars)
[08-02 16:03:54]   [120/176] p0119 OK (694 chars)
[08-02 16:04:51]   [121/176] p0120 OK (283 chars)
[08-02 16:05:31]   [122/176] p0121 OK (425 chars)
[08-02 16:06:42]   [123/176] p0122 OK (886 chars)
[08-02 16:08:24]   [124/176] p0123 OK (732 chars)
[08-02 16:08:56]   [125/176] p0124 OK (311 chars)
[08-02 16:10:04]   [126/176] p0125 OK (497 chars)
[08-02 16:10:45]   [127/176] p0126 OK (908 chars)
[08-02 16:12:15]   [128/176] p0127 OK (671 chars)
[08-02 16:13:06]   [129/176] p0128 OK (283 chars)
[08-02 16:14:26]   [130/176] p0129 OK (460 chars)
