id,unit_name,employee_name,id_card,base_salary,person_rate,unit_rate,monthly_amount,balance,pay_month
84,住建局,吴鑫,5101195504101403,10444.74,0.12,0.08,2088.95,261118.75,2025-04
85,卫健委,王芳,5101196601168051,18309.37,0.08,0.05,2380.22,421298.94,2025-04
86,某国企集团,胡兵,5101191910077350,13268.93,0.1,0.07,2255.72,385728.12,2025-04
87,教育局,李娜,5101195203241918,8753.37,0.1,0.1,1750.67,264351.17,2025-05
88,某医院,马超,5101202007284023,21918.53,0.07,0.07,3068.59,426534.01,2025-03
89,某医院,周杰,5101193108226967,9363.01,0.1,0.07,1591.71,267407.28,2025-06
90,某医院,张伟,5101194707028071,24503.34,0.05,0.08,3185.43,108304.62,2025-03
91,某医院,李娜,5101194801254191,4882.01,0.12,0.1,1074.04,136403.08,2025-01
92,教育局,黄磊,5101195806248912,19831.74,0.07,0.12,3768.03,497379.96,2025-04
93,住建局,杨帆,5101191912234130,13275.89,0.1,0.08,2389.66,181614.16,2025-03
94,某国企集团,朱红,5101190204048138,23248.18,0.1,0.12,5114.6,506345.4,2025-06
95,交通局,林雪,5101194211241551,24705.91,0.07,0.08,3705.89,641118.97,2025-04
96,住建局,刘洋,5101198306228031,21470.12,0.12,0.05,3649.92,463539.84,2025-04
97,住建局,王芳,5101191603177873,4738.27,0.05,0.12,805.51,101494.26,2025-06
98,某高校,张伟,5101194103128444,3946.46,0.08,0.1,710.36,30545.48,2025-03
99,交通局,王芳,5101200801155309,6476.08,0.12,0.07,1230.45,38143.95,2025-06
100,住建局,胡兵,5101191101224089,9951.19,0.12,0.12,2388.29,38212.64,2025-05
101,某医院,张伟,5101196706096935,20184.39,0.08,0.07,3027.66,393595.8,2025-02
102,某医院,马超,5101197310278834,18264.32,0.07,0.12,3470.22,176981.22,2025-02
103,交通局,徐明,5101194510116826,10515.04,0.12,0.1,2313.31,138798.6,2025-05
104,住建局,孙丽,5101194908253928,8262.4,0.07,0.05,991.49,78327.71,2025-01
105,住建局,赵敏,5101199402232967,21262.04,0.1,0.1,4252.41,403978.95,2025-06
106,某高校,朱红,5101190607182086,12343.25,0.1,0.12,2715.51,57025.71,2025-06
107,某医院,马超,5101194612034669,16024.23,0.07,0.07,2243.39,399323.42,2025-03
108,某医院,张伟,5101197611223587,20926.73,0.08,0.12,4185.35,506427.35,2025-03
109,某医院,徐明,5101192703179642,13770.87,0.08,0.05,1790.21,159328.69,2025-04
110,教育局,黄磊,5101194508209773,7443.74,0.12,0.08,1488.75,131010.0,2025-04
111,某高校,黄磊,5101193205229835,10791.5,0.12,0.08,2158.3,241729.6,2025-03
112,某医院,赵敏,5101197305054107,19550.44,0.08,0.1,3519.08,436365.92,2025-03
113,某医院,杨帆,5101194408166293,19846.84,0.05,0.1,2977.03,526934.31,2025-06
114,某高校,刘洋,5101190211042316,8384.19,0.05,0.07,1006.1,66402.6,2025-05
115,交通局,林雪,5101193607221810,14911.26,0.1,0.1,2982.25,411550.5,2025-05
116,住建局,李娜,5101201811068933,22465.67,0.08,0.12,4493.13,413367.96,2025-04
117,教育局,黄磊,5101192805168894,13234.16,0.07,0.07,1852.78,114872.36,2025-04
118,教育局,孙丽,5101191212236832,15711.28,0.05,0.12,2670.92,416663.52,2025-01
119,交通局,张伟,5101200102289642,5739.56,0.1,0.08,1033.12,14463.68,2025-01
120,卫健委,张伟,5101196109178978,24620.26,0.07,0.05,2954.43,389984.76,2025-03
121,住建局,陈静,5101195006138913,7493.65,0.12,0.12,1798.48,55752.88,2025-06
122,教育局,胡兵,5101192909223585,12991.76,0.08,0.07,1948.76,292314.0,2025-03
123,某医院,李娜,5101201009196830,18429.87,0.08,0.12,3685.97,597127.14,2025-04
124,某高校,李娜,5101200309123264,14598.62,0.05,0.08,1897.82,187884.18,2025-05
125,某医院,马超,5101191907252587,6768.72,0.05,0.08,879.93,103831.74,2025-02
126,交通局,徐明,5101195405224668,22761.27,0.1,0.07,3869.42,247642.88,2025-05
127,某医院,胡兵,5101197012143577,3851.09,0.07,0.07,539.15,18870.25,2025-04
128,住建局,吴鑫,5101193704135160,22414.3,0.1,0.07,3810.43,179090.21,2025-04
129,某国企集团,徐明,5101191811234517,20222.97,0.05,0.12,3437.9,409110.1,2025-06
130,住建局,朱红,5101190511203083,10435.7,0.07,0.1,1774.07,264336.43,2025-05
131,某医院,刘洋,5101195010077689,5513.85,0.1,0.05,827.08,52106.04,2025-03
132,交通局,朱红,5101196606263983,14879.4,0.05,0.05,1487.94,107131.68,2025-02
133,交通局,李娜,5101193103022476,11284.65,0.12,0.1,2482.62,290466.54,2025-04
134,某国企集团,王芳,5101198201035860,3057.46,0.1,0.07,519.77,16632.64,2025-04
135,某国企集团,林雪,5101199507253259,14855.62,0.12,0.1,3268.24,333360.48,2025-02
136,某医院,赵敏,5101197210125600,4369.39,0.12,0.05,742.8,18570.0,2025-06
137,教育局,胡兵,5101190409026419,9415.14,0.08,0.12,1883.03,75321.2,2025-04
138,某高校,杨帆,5101192005016379,15346.35,0.05,0.08,1995.03,243393.66,2025-03
139,卫健委,朱红,5101194212265232,14309.77,0.08,0.08,2289.56,183164.8,2025-01
140,某医院,胡兵,5101197106195044,11605.87,0.1,0.07,1973.0,246625.0,2025-01
141,交通局,朱红,5101193210066101,22003.61,0.07,0.08,3300.54,75912.42,2025-03
142,卫健委,孙丽,5101198811082231,22455.96,0.08,0.08,3592.95,477862.35,2025-03
143,某国企集团,周杰,5101197710144796,9951.31,0.08,0.12,1990.26,304509.78,2025-05
144,住建局,王芳,5101200602149368,12327.32,0.12,0.05,2095.64,194894.52,2025-03
145,某高校,孙丽,5101198605138709,12540.49,0.08,0.08,2006.48,84272.16,2025-03
146,住建局,林雪,5101201205105384,19346.77,0.12,0.05,3288.95,190759.1,2025-06
147,某国企集团,马超,5101195610185837,11041.77,0.08,0.1,1987.52,292165.44,2025-01
148,交通局,张伟,5101197204028130,15783.8,0.1,0.07,2683.25,440053.0,2025-03
149,住建局,杨帆,5101196303184681,4543.36,0.1,0.05,681.5,14993.0,2025-04
150,教育局,徐明,5101193209215132,15109.88,0.1,0.07,2568.68,102747.2,2025-05
151,卫健委,王芳,5101197802155315,15040.75,0.05,0.07,1804.89,79415.16,2025-02
152,某高校,赵敏,5101199310286669,5072.68,0.1,0.07,862.36,68126.44,2025-05
153,某高校,胡兵,5101201701217137,6554.16,0.12,0.05,1114.21,144847.3,2025-01
154,某高校,林雪,5101197601015965,3290.22,0.1,0.1,658.04,11844.72,2025-06
155,教育局,黄磊,5101196310219106,5117.48,0.1,0.08,921.15,113301.45,2025-04
156,某国企集团,马超,5101199007163390,20339.93,0.08,0.1,3661.19,157431.17,2025-02
157,交通局,林雪,5101191407223174,21283.12,0.12,0.05,3618.13,274977.88,2025-02
158,某国企集团,胡兵,5101193012054466,8687.25,0.1,0.05,1303.09,67760.68,2025-01
159,交通局,刘洋,5101190301032636,19836.66,0.05,0.05,1983.67,69428.45,2025-06
160,住建局,杨帆,5101197707073384,3663.08,0.12,0.08,732.62,56411.74,2025-06
161,某高校,胡兵,5101193710098190,8538.4,0.1,0.07,1451.53,258372.34,2025-01
162,卫健委,李娜,5101194207059529,19331.3,0.05,0.05,1933.13,183647.35,2025-05
163,某医院,赵敏,5101200901129750,5737.77,0.08,0.08,918.04,152394.64,2025-02
164,住建局,马超,5101192906163664,15366.18,0.12,0.12,3687.88,213897.04,2025-01
165,某医院,吴鑫,5101197612204175,21178.64,0.07,0.1,3600.37,345635.52,2025-02
166,某医院,赵敏,5101200810174164,3541.12,0.05,0.07,424.93,6373.95,2025-03
167,某高校,孙丽,5101198604014256,12270.39,0.07,0.1,2085.97,79266.86,2025-05
168,卫健委,胡兵,5101194905137164,24302.42,0.08,0.07,3645.36,586902.96,2025-05
169,住建局,吴鑫,5101194306192950,21289.62,0.05,0.08,2767.65,448359.3,2025-01
170,某国企集团,赵敏,5101194206113669,18255.46,0.07,0.12,3468.54,485595.6,2025-06
171,交通局,朱红,5101190608243248,3635.99,0.07,0.12,690.84,119515.32,2025-01
172,交通局,徐明,5101195404224339,24748.46,0.05,0.08,3217.3,83649.8,2025-03
173,住建局,王芳,5101200909015269,3527.32,0.1,0.12,776.01,61304.79,2025-03
174,交通局,刘洋,5101192004178789,11790.7,0.07,0.1,2004.42,30066.3,2025-05
175,住建局,黄磊,5101196602034648,23209.58,0.08,0.07,3481.44,431698.56,2025-02
176,教育局,林雪,5101197608013261,19591.02,0.08,0.12,3918.2,630830.2,2025-03
177,某国企集团,孙丽,5101192905056480,13029.13,0.12,0.08,2605.83,359604.54,2025-06
178,某医院,朱红,5101198808145442,21197.2,0.08,0.12,4239.44,585042.72,2025-05
179,住建局,李娜,5101192812244803,13286.32,0.08,0.05,1727.22,158904.24,2025-03
180,某医院,杨帆,5101196212072779,6775.66,0.12,0.07,1287.38,83679.7,2025-03
181,某国企集团,吴鑫,5101190603011364,22028.35,0.08,0.05,2863.69,151775.57,2025-02
182,住建局,李娜,5101192504215559,5961.15,0.1,0.05,894.17,65274.41,2025-02
183,卫健委,黄磊,5101191204249197,13939.75,0.08,0.07,2090.96,37637.28,2025-03
184,卫健委,李娜,5101197603207523,18427.86,0.07,0.12,3501.29,80529.67,2025-04
185,某国企集团,孙丽,5101196710272965,9433.2,0.12,0.07,1792.31,206115.65,2025-01
186,某高校,赵敏,5101198103241538,5130.46,0.08,0.12,1026.09,165200.49,2025-04
187,住建局,马超,5101196712199276,5223.99,0.12,0.07,992.56,63523.84,2025-03
188,某高校,黄磊,5101198302283437,13963.53,0.07,0.05,1675.62,187669.44,2025-05
189,住建局,胡兵,5101191307198787,16957.12,0.1,0.1,3391.42,223833.72,2025-03
190,某国企集团,陈静,5101196608228690,7074.52,0.05,0.05,707.45,85601.45,2025-02
191,某医院,陈静,5101193312262878,5275.24,0.05,0.08,685.78,89837.18,2025-04
192,某高校,刘洋,5101198003258207,19935.94,0.07,0.05,2392.31,299038.75,2025-06
193,某高校,李娜,5101190308222986,12076.16,0.05,0.1,1811.42,235484.6,2025-01
194,某高校,林雪,5101197707152859,17076.55,0.08,0.07,2561.48,338115.36,2025-04
195,住建局,李娜,5101198512283143,22157.27,0.05,0.05,2215.73,343438.15,2025-02
196,住建局,王芳,5101197002107732,22650.54,0.08,0.07,3397.58,441685.4,2025-06
197,教育局,陈静,5101196709178109,21005.0,0.12,0.07,3990.95,163628.95,2025-01
198,教育局,陈静,5101191411138363,7145.38,0.1,0.05,1071.81,36441.54,2025-03
199,教育局,徐明,5101196908027212,7741.8,0.08,0.12,1548.36,66579.48,2025-02
200,某医院,朱红,5101199506038840,3180.49,0.07,0.07,445.27,49870.24,2025-01
201,卫健委,刘洋,5101198109174756,7557.65,0.1,0.12,1662.68,174581.4,2025-06
202,住建局,马超,5101195310068255,10477.76,0.05,0.07,1257.33,173511.54,2025-05
203,教育局,林雪,5101191409249023,16012.24,0.12,0.07,3042.33,401587.56,2025-03
204,某医院,李娜,5101195706112138,18010.67,0.08,0.08,2881.71,57634.2,2025-05
205,某国企集团,徐明,5101194602264716,12263.05,0.08,0.08,1962.09,111839.13,2025-04
206,住建局,刘洋,5101195403112866,7643.3,0.1,0.12,1681.52,114343.36,2025-03
207,卫健委,徐明,5101200809053044,21562.31,0.07,0.07,3018.72,486013.92,2025-04
208,住建局,杨帆,5101196910079520,12296.23,0.07,0.1,2090.36,269656.44,2025-03
209,某医院,徐明,5101195904265233,9399.22,0.08,0.1,1691.86,290999.92,2025-06
210,教育局,周杰,5101198007047318,20749.51,0.07,0.08,3112.43,398391.04,2025-02
211,某国企集团,马超,5101194208189356,9322.43,0.08,0.12,1864.49,220009.82,2025-03
212,某国企集团,吴鑫,5101200609227765,7653.79,0.05,0.05,765.38,130114.6,2025-05
213,交通局,朱红,5101198111189479,18793.45,0.05,0.05,1879.35,315730.8,2025-01
214,某医院,赵敏,5101196505158298,15515.68,0.08,0.05,2017.04,137158.72,2025-02
215,某国企集团,徐明,5101196803205082,15521.66,0.1,0.1,3104.33,99338.56,2025-02
216,某高校,林雪,5101194802131567,21366.35,0.12,0.05,3632.28,101703.84,2025-03
217,交通局,朱红,5101199903116990,5462.78,0.08,0.08,874.04,128483.88,2025-04
218,交通局,孙丽,5101195102047881,5875.3,0.1,0.05,881.29,124261.89,2025-03
219,住建局,赵敏,5101197012264062,6998.01,0.12,0.05,1189.66,122534.98,2025-04
220,教育局,王芳,5101196404029192,15417.63,0.12,0.1,3391.88,386674.32,2025-04
221,某医院,赵敏,5101192802228816,20463.0,0.1,0.07,3478.71,100882.59,2025-06
222,教育局,孙丽,5101190605166591,4281.56,0.12,0.05,727.87,41488.59,2025-01
223,住建局,王芳,5101190601157074,18847.02,0.05,0.08,2450.11,34301.54,2025-01
224,卫健委,周杰,5101201401239266,23726.66,0.08,0.12,4745.33,593166.25,2025-02
225,某高校,刘洋,5101198306072660,11040.93,0.05,0.08,1435.32,185156.28,2025-01
226,教育局,林雪,5101197308025721,11836.7,0.1,0.07,2012.24,134820.08,2025-06
227,卫健委,赵敏,5101192104023248,9636.59,0.07,0.07,1349.12,191575.04,2025-06
228,住建局,孙丽,5101195402119214,7338.27,0.1,0.08,1320.89,80574.29,2025-04
229,住建局,吴鑫,5101192302224426,20316.65,0.1,0.05,3047.5,319987.5,2025-04
230,交通局,杨帆,5101197109024225,20177.27,0.1,0.05,3026.59,402536.47,2025-04
231,交通局,李娜,5101194608061559,6287.72,0.08,0.05,817.4,50678.8,2025-06
232,某高校,黄磊,5101200003151157,18914.59,0.07,0.08,2837.19,278044.62,2025-04
233,卫健委,马超,5101198805141406,13726.2,0.07,0.05,1647.14,74121.3,2025-04
234,某医院,朱红,5101197611115423,11743.24,0.12,0.08,2348.65,49321.65,2025-05
235,某高校,杨帆,5101192909019802,8423.36,0.12,0.07,1600.44,238465.56,2025-01
236,卫健委,胡兵,5101197404062367,3551.43,0.05,0.05,355.14,48299.04,2025-03
237,卫健委,林雪,5101198010128111,10939.65,0.1,0.05,1640.95,24614.25,2025-05
238,某国企集团,张伟,5101197804264026,4572.56,0.12,0.05,777.34,24097.54,2025-05
239,某医院,马超,5101197712175758,7496.1,0.1,0.08,1349.3,138977.9,2025-02
240,某国企集团,徐明,5101201709106191,10445.23,0.08,0.05,1357.88,122209.2,2025-01
241,住建局,黄磊,5101197202031243,19492.74,0.07,0.05,2339.13,217539.09,2025-06
242,某国企集团,张伟,5101195510052213,5258.45,0.12,0.08,1051.69,94652.1,2025-04
243,教育局,胡兵,5101192203069270,9807.9,0.07,0.1,1667.34,68360.94,2025-04
244,教育局,张伟,5101198203213473,23479.66,0.05,0.1,3521.95,475463.25,2025-05
245,某医院,陈静,5101202006194846,23115.38,0.08,0.12,4623.08,397584.88,2025-06
246,住建局,王芳,5101196207012138,16433.4,0.1,0.08,2958.01,266220.9,2025-04
247,某医院,张伟,5101195407212773,14647.3,0.07,0.12,2782.99,456410.36,2025-01
248,某医院,朱红,5101192704154699,11147.46,0.08,0.05,1449.17,237663.88,2025-02
249,教育局,周杰,5101193108201271,20906.83,0.05,0.08,2717.89,350607.81,2025-06
250,某医院,马超,5101193101195521,6968.58,0.12,0.07,1324.03,38396.87,2025-03
251,住建局,黄磊,5101195404014865,7169.53,0.05,0.08,932.04,167767.2,2025-05
252,教育局,徐明,5101200201085982,18770.2,0.12,0.07,3566.34,324536.94,2025-04
253,交通局,徐明,5101195206059405,9868.77,0.1,0.1,1973.75,108556.25,2025-02
254,某医院,周杰,5101192909281539,13096.39,0.12,0.1,2881.21,213209.54,2025-03
255,某国企集团,陈静,5101201007035512,3090.43,0.12,0.12,741.7,54885.8,2025-02
256,某国企集团,杨帆,5101196906123064,3002.93,0.1,0.12,660.65,55494.6,2025-06
257,交通局,黄磊,5101194101221396,23823.86,0.07,0.1,4050.06,595358.82,2025-06
258,某国企集团,刘洋,5101199907044677,21547.5,0.05,0.1,3232.12,77570.88,2025-04
259,住建局,胡兵,5101198008048733,16273.43,0.05,0.05,1627.34,78112.32,2025-01
260,教育局,王芳,5101192312188988,24983.13,0.12,0.12,5995.95,335773.2,2025-05
261,某高校,周杰,5101200302077542,21743.34,0.07,0.08,3261.5,316365.5,2025-02
262,交通局,林雪,5101196504089442,15593.91,0.05,0.08,2027.21,111496.55,2025-05
263,某高校,陈静,5101193106124091,6357.62,0.07,0.05,762.91,27464.76,2025-06
264,某国企集团,王芳,5101191901073795,3852.17,0.07,0.1,654.87,53699.34,2025-04
265,教育局,马超,5101195707093663,20690.39,0.12,0.08,4138.08,616573.92,2025-04
266,住建局,马超,5101192103121080,24764.05,0.12,0.1,5448.09,779076.87,2025-02
267,卫健委,黄磊,5101190206112493,6196.5,0.07,0.07,867.51,71135.82,2025-02
268,某国企集团,林雪,5101198208097847,4369.74,0.07,0.05,524.37,36181.53,2025-04
269,交通局,吴鑫,5101201504146903,4035.88,0.1,0.08,726.46,15255.66,2025-05
270,卫健委,陈静,5101197210185346,22353.95,0.1,0.05,3353.09,388958.44,2025-02
271,某高校,林雪,5101191112208074,9915.2,0.1,0.08,1784.74,274849.96,2025-06
272,卫健委,林雪,5101194512041230,19660.48,0.08,0.08,3145.68,434103.84,2025-06
273,教育局,朱红,5101191808138894,19063.39,0.12,0.07,3622.04,166613.84,2025-06
274,某国企集团,李娜,5101194907121174,21884.68,0.07,0.1,3720.4,342276.8,2025-04
275,某高校,张伟,5101195610056267,11100.09,0.05,0.05,1110.01,105450.95,2025-05
276,某高校,赵敏,5101197105281874,13632.88,0.12,0.05,2317.59,183089.61,2025-03
277,交通局,徐明,5101198807181752,16821.28,0.05,0.05,1682.13,185034.3,2025-01
278,某国企集团,朱红,5101192904122614,18442.26,0.05,0.07,2213.07,243437.7,2025-05
279,某医院,吴鑫,5101191209096964,24922.85,0.1,0.1,4984.57,638024.96,2025-05
280,住建局,王芳,5101201208287631,13029.27,0.12,0.08,2605.85,312702.0,2025-06
281,卫健委,胡兵,5101195412177454,6262.64,0.08,0.07,939.4,139031.2,2025-04
282,某国企集团,张伟,5101201604103514,16561.9,0.12,0.1,3643.62,174893.76,2025-01
283,卫健委,赵敏,5101199607111644,4113.47,0.08,0.08,658.16,21061.12,2025-06
284,某医院,刘洋,5101197012208610,13423.03,0.07,0.1,2281.92,351415.68,2025-02
285,住建局,朱红,5101193205016105,14758.28,0.1,0.07,2508.91,280997.92,2025-03
286,教育局,吴鑫,5101196503255287,5320.58,0.07,0.1,904.5,94972.5,2025-05
287,某国企集团,刘洋,5101192005145608,8561.59,0.1,0.05,1284.24,96318.0,2025-01
288,某高校,黄磊,5101200101039257,11331.06,0.07,0.12,2152.9,266959.6,2025-06
289,某国企集团,陈静,5101193002107195,5213.12,0.08,0.05,677.71,40662.6,2025-03
290,交通局,徐明,5101199412029100,9073.78,0.08,0.08,1451.8,81300.8,2025-06
291,教育局,李娜,5101195907029118,13725.2,0.08,0.08,2196.03,366737.01,2025-02
292,教育局,徐明,5101198608024509,19398.77,0.07,0.07,2715.83,355773.73,2025-06
293,卫健委,赵敏,5101195004086795,16337.35,0.12,0.07,3104.1,353867.4,2025-06
294,交通局,刘洋,5101199401055979,4039.24,0.05,0.07,484.71,50409.84,2025-01
295,卫健委,朱红,5101199902229764,14733.65,0.07,0.12,2799.39,419908.5,2025-06
296,某国企集团,刘洋,5101194307189253,16684.77,0.08,0.08,2669.56,141486.68,2025-06
297,交通局,赵敏,5101200410244380,17121.44,0.08,0.1,3081.86,382150.64,2025-06
298,某国企集团,李娜,5101190010123040,13933.8,0.08,0.05,1811.39,30793.63,2025-05
299,某医院,黄磊,5101195310074498,17774.05,0.05,0.07,2132.89,366857.08,2025-02
300,某高校,赵敏,5101200511019111,22277.02,0.12,0.12,5346.48,251284.56,2025-01
