id,card_no,holder_name,dept_name,trans_date,amount,merchant,category,purpose
21,6282791563867674,吴鑫,教育局,2025-03-21,6317.92,某广告公司,差旅住宿,差旅住宿
22,6282886932784903,胡兵,民政局,2025-01-25,6243.09,某旅行社,印刷费,会议费
23,6282132330125426,徐明,民政局,2025-03-20,2103.51,某餐饮公司,车辆加油,印刷费
24,6282976003237845,赵敏,住建局,2025-05-10,4797.89,某广告公司,差旅住宿,印刷费
25,6282757554631350,杨帆,农业农村局,2025-03-18,13919.14,某餐饮公司,培训费,车辆加油
26,6282919286898386,朱红,人社局,2025-02-04,2592.45,某餐饮公司,差旅住宿,培训费
27,6282343699723319,胡兵,住建局,2025-06-17,9474.38,某办公用品店,公务接待,公务接待
28,6282894085653051,王芳,住建局,2025-06-03,4252.8,某加油站,车辆加油,印刷费
29,6282270759080497,王芳,民政局,2025-03-21,2286.28,某旅行社,车辆加油,公务接待
30,6282559153069215,徐明,住建局,2025-02-11,14031.15,某汽车维修厂,培训费,公务接待
31,6282801523696784,张伟,交通局,2025-05-22,1875.95,某办公用品店,差旅住宿,差旅住宿
32,6282376014010433,杨帆,交通局,2025-01-20,6607.37,某餐饮公司,车辆加油,会议费
33,6282640944564374,林雪,教育局,2025-01-16,8296.68,某广告公司,差旅住宿,差旅住宿
34,6282636840625366,黄磊,交通局,2025-05-14,14058.02,某加油站,差旅住宿,宣传费
35,6282514714747124,马超,农业农村局,2025-02-20,523.54,某餐饮公司,车辆加油,印刷费
36,6282351585384579,黄磊,科技局,2025-05-26,8377.4,某会议中心,宣传费,培训费
37,6282979290117665,徐明,农业农村局,2025-03-11,14382.73,某会议中心,办公用品,宣传费
38,6282538706658028,徐明,教育局,2025-06-08,1901.14,某旅行社,印刷费,办公用品
39,6282359461353282,徐明,交通局,2025-02-08,13927.73,某办公用品店,印刷费,办公用品
40,6282244190310504,林雪,民政局,2025-03-08,3558.39,某印刷厂,宣传费,印刷费
41,6282116698222377,周杰,人社局,2025-05-16,5242.88,某餐饮公司,差旅住宿,车辆维修
42,6282687605936178,朱红,教育局,2025-06-17,5715.8,某广告公司,办公用品,差旅住宿
43,6282850809848762,朱红,教育局,2025-06-04,3815.91,某旅行社,培训费,办公用品
44,6282901850111953,吴鑫,教育局,2025-04-25,13661.54,某酒店,会议费,印刷费
45,6282352529566316,刘洋,交通局,2025-04-25,7867.31,某广告公司,印刷费,会议费
46,6282603641266923,吴鑫,卫健委,2025-06-09,1020.53,某会议中心,车辆加油,公务接待
47,6282696407210954,杨帆,民政局,2025-02-15,4970.7,某餐饮公司,宣传费,办公用品
48,6282574403667131,孙丽,住建局,2025-03-11,14927.74,某会议中心,会议费,车辆维修
49,6282583365255668,胡兵,交通局,2025-03-12,13712.66,某旅行社,会议费,差旅住宿
50,6282553703035861,黄磊,卫健委,2025-03-03,2583.55,某办公用品店,宣传费,差旅住宿
51,6282405876537434,张伟,交通局,2025-04-03,8457.46,某广告公司,会议费,办公用品
52,6282965303541260,张伟,卫健委,2025-05-10,837.45,某广告公司,车辆维修,车辆加油
53,6282248374837151,陈静,交通局,2025-03-03,4690.9,某广告公司,印刷费,会议费
54,6282465595602713,黄磊,住建局,2025-04-03,612.63,某会议中心,车辆加油,会议费
55,6282579474861690,陈静,民政局,2025-06-04,7499.99,某广告公司,印刷费,公务接待
56,6282853442491659,赵敏,人社局,2025-03-12,4716.87,某会议中心,车辆维修,宣传费
57,6282145502351229,黄磊,住建局,2025-06-16,310.59,某旅行社,培训费,公务接待
58,6282381246858678,吴鑫,交通局,2025-03-23,7303.06,某会议中心,培训费,公务接待
59,6282123390972311,马超,住建局,2025-04-18,4022.08,某办公用品店,培训费,办公用品
60,6282783061945906,刘洋,交通局,2025-05-18,8267.87,某餐饮公司,公务接待,车辆维修
61,6282747263759467,吴鑫,民政局,2025-04-03,13256.35,某办公用品店,培训费,差旅住宿
62,6282525496527446,黄磊,卫健委,2025-01-27,5802.08,某会议中心,车辆加油,差旅住宿
63,6282200540548183,赵敏,住建局,2025-02-09,3875.28,某加油站,公务接待,差旅住宿
64,6282828909850112,周杰,教育局,2025-01-26,8570.64,某加油站,会议费,宣传费
65,6282864015260115,刘洋,农业农村局,2025-04-01,7339.13,某旅行社,车辆加油,宣传费
66,6282806523488744,吴鑫,科技局,2025-05-10,8417.85,某广告公司,会议费,培训费
67,6282256493418740,黄磊,民政局,2025-03-28,10308.55,某酒店,差旅住宿,办公用品
68,6282538076407239,陈静,科技局,2025-06-09,8207.65,某酒店,印刷费,会议费
69,6282648849962920,朱红,民政局,2025-01-03,12304.67,某酒店,印刷费,车辆加油
70,6282867086131581,黄磊,教育局,2025-04-28,13428.95,某会议中心,培训费,车辆维修
71,6282271161147081,徐明,住建局,2025-05-03,3677.47,某会议中心,会议费,印刷费
72,6282850229525636,孙丽,农业农村局,2025-02-16,9387.96,某加油站,会议费,印刷费
73,6282820799551521,张伟,人社局,2025-05-15,6785.74,某加油站,会议费,印刷费
74,6282856019640005,王芳,教育局,2025-03-18,5788.99,某办公用品店,公务接待,公务接待
75,6282382218426074,胡兵,住建局,2025-03-09,6581.5,某广告公司,公务接待,办公用品
76,6282629418701389,王芳,交通局,2025-06-21,85.2,某加油站,差旅住宿,办公用品
77,6282173553477401,林雪,卫健委,2025-03-24,7031.12,某会议中心,培训费,办公用品
78,6282666709490888,马超,住建局,2025-01-19,3431.29,某餐饮公司,会议费,差旅住宿
79,6282236306069334,吴鑫,科技局,2025-02-03,1283.52,某广告公司,车辆维修,印刷费
80,6282653672677827,赵敏,交通局,2025-02-17,1388.56,某餐饮公司,车辆加油,会议费
81,6282477702949774,孙丽,民政局,2025-05-02,13031.73,某办公用品店,印刷费,培训费
82,6282704197329679,孙丽,民政局,2025-04-14,6335.4,某广告公司,印刷费,公务接待
83,6282814499064502,李娜,农业农村局,2025-06-17,5778.47,某汽车维修厂,会议费,差旅住宿
84,6282577044008827,王芳,住建局,2025-06-20,9115.17,某印刷厂,会议费,宣传费
85,6282374323149269,赵敏,科技局,2025-03-19,12759.21,某会议中心,培训费,宣传费
86,6282605091820994,李娜,民政局,2025-04-12,8949.17,某会议中心,印刷费,车辆加油
87,6282989803878981,王芳,人社局,2025-06-26,6343.73,某酒店,公务接待,办公用品
88,6282770794154952,马超,交通局,2025-06-23,14648.15,某汽车维修厂,差旅住宿,办公用品
89,6282919814132970,胡兵,人社局,2025-04-24,3678.19,某汽车维修厂,公务接待,差旅住宿
90,6282671242449303,孙丽,科技局,2025-06-21,2208.61,某汽车维修厂,印刷费,会议费
91,6282900659141167,李娜,科技局,2025-05-11,10678.99,某办公用品店,办公用品,印刷费
92,6282992172708777,徐明,交通局,2025-03-21,9042.31,某汽车维修厂,办公用品,印刷费
93,6282303324343454,刘洋,交通局,2025-05-21,3588.16,某旅行社,宣传费,车辆加油
94,6282730818678978,陈静,民政局,2025-03-06,8107.42,某酒店,印刷费,车辆加油
95,6282512670743756,周杰,民政局,2025-06-04,6109.3,某广告公司,印刷费,公务接待
96,6282726627924306,刘洋,农业农村局,2025-05-27,1445.3,某旅行社,办公用品,印刷费
97,6282174991911567,周杰,交通局,2025-03-24,11590.41,某加油站,办公用品,会议费
98,6282374033129390,王芳,民政局,2025-03-21,4148.29,某旅行社,公务接待,车辆加油
99,6282578551204148,朱红,人社局,2025-01-13,11828.32,某办公用品店,公务接待,车辆维修
100,6282771790330007,刘洋,科技局,2025-01-05,13085.57,某广告公司,培训费,公务接待
101,6282884151580396,李娜,农业农村局,2025-04-28,11093.91,某印刷厂,车辆维修,公务接待
102,6282326133886644,周杰,卫健委,2025-05-14,3333.91,某印刷厂,培训费,车辆维修
103,6282282513926837,马超,卫健委,2025-04-26,7202.68,某加油站,公务接待,车辆加油
104,6282942113287274,杨帆,科技局,2025-03-02,2878.21,某办公用品店,培训费,公务接待
105,6282848445517370,杨帆,科技局,2025-05-18,3781.97,某餐饮公司,印刷费,培训费
106,6282896454210860,胡兵,交通局,2025-01-18,1529.92,某印刷厂,办公用品,车辆维修
107,6282893437593153,赵敏,住建局,2025-02-05,14570.8,某广告公司,公务接待,印刷费
108,6282320261201871,胡兵,交通局,2025-04-12,2930.36,某广告公司,车辆维修,差旅住宿
109,6282526643310115,黄磊,教育局,2025-04-14,444.08,某加油站,差旅住宿,公务接待
110,6282708099062558,杨帆,住建局,2025-02-01,9433.37,某汽车维修厂,车辆维修,印刷费
111,6282886606629866,周杰,民政局,2025-01-10,169.32,某办公用品店,差旅住宿,宣传费
112,6282823328697886,李娜,交通局,2025-01-10,2990.2,某酒店,会议费,会议费
113,6282183734393111,陈静,住建局,2025-05-01,13946.14,某餐饮公司,培训费,宣传费
114,6282274682935195,黄磊,住建局,2025-04-20,11422.7,某印刷厂,培训费,培训费
115,6282940366277652,林雪,农业农村局,2025-05-09,8601.14,某餐饮公司,公务接待,车辆加油
116,6282674129495937,杨帆,农业农村局,2025-03-21,890.58,某酒店,公务接待,会议费
117,6282916826831443,徐明,住建局,2025-05-15,593.54,某广告公司,印刷费,宣传费
118,6282439909978367,吴鑫,卫健委,2025-03-25,1883.54,某会议中心,印刷费,车辆加油
119,6282607054054466,胡兵,民政局,2025-03-17,11201.71,某加油站,差旅住宿,培训费
120,6282878356512939,马超,民政局,2025-05-21,1316.89,某办公用品店,会议费,宣传费
121,6282828452137598,马超,住建局,2025-04-27,10054.26,某旅行社,车辆维修,车辆加油
122,6282106580056340,林雪,卫健委,2025-04-09,14266.41,某印刷厂,差旅住宿,差旅住宿
123,6282112756138645,王芳,民政局,2025-04-27,2955.21,某汽车维修厂,培训费,宣传费
124,6282744407214975,陈静,农业农村局,2025-02-26,6434.04,某办公用品店,车辆加油,车辆加油
125,6282326384425846,胡兵,住建局,2025-03-09,12519.32,某广告公司,培训费,差旅住宿
126,6282843842601749,赵敏,教育局,2025-01-15,2766.73,某会议中心,车辆维修,宣传费
127,6282801830520521,张伟,卫健委,2025-02-26,117.24,某办公用品店,印刷费,印刷费
128,6282105288844471,李娜,教育局,2025-06-05,8131.87,某餐饮公司,车辆维修,会议费
129,6282352400840712,张伟,住建局,2025-06-02,8800.39,某餐饮公司,差旅住宿,培训费
130,6282331480138039,周杰,人社局,2025-05-18,13679.77,某餐饮公司,差旅住宿,办公用品
131,6282178826940022,周杰,卫健委,2025-06-21,10467.15,某会议中心,印刷费,宣传费
132,6282946223731331,林雪,科技局,2025-04-04,102.44,某酒店,培训费,车辆加油
133,6282373448130092,胡兵,卫健委,2025-04-25,10573.55,某餐饮公司,车辆维修,办公用品
134,6282446781187226,王芳,交通局,2025-06-08,6356.89,某酒店,办公用品,宣传费
135,6282851596364526,孙丽,教育局,2025-04-28,12746.41,某旅行社,培训费,差旅住宿
136,6282706587056292,朱红,农业农村局,2025-03-04,12403.06,某酒店,公务接待,公务接待
137,6282124506157717,刘洋,民政局,2025-02-23,10163.17,某汽车维修厂,公务接待,会议费
138,6282265275375426,黄磊,交通局,2025-02-03,3759.82,某广告公司,宣传费,办公用品
139,6282570749098045,陈静,交通局,2025-02-25,11450.98,某餐饮公司,车辆加油,宣传费
140,6282725546325825,陈静,人社局,2025-03-17,7150.1,某会议中心,差旅住宿,会议费
141,6282779088800664,赵敏,人社局,2025-03-13,14962.35,某广告公司,差旅住宿,宣传费
142,6282997629866710,王芳,卫健委,2025-02-01,3731.14,某酒店,车辆维修,车辆维修
143,6282386992872094,孙丽,卫健委,2025-01-08,8685.81,某旅行社,办公用品,车辆维修
144,6282866787539519,朱红,科技局,2025-03-12,14675.67,某旅行社,宣传费,会议费
145,6282823524843853,马超,农业农村局,2025-02-05,1953.5,某办公用品店,办公用品,车辆加油
146,6282352351636113,朱红,卫健委,2025-01-28,9097.13,某会议中心,公务接待,车辆维修
147,6282922845074946,周杰,农业农村局,2025-03-09,14723.08,某酒店,会议费,车辆维修
148,6282424208533608,赵敏,卫健委,2025-04-16,12428.41,某广告公司,车辆加油,公务接待
149,6282314278517646,刘洋,人社局,2025-04-18,12807.83,某汽车维修厂,车辆加油,培训费
150,6282235600591881,王芳,住建局,2025-02-02,10482.79,某酒店,印刷费,培训费
151,6282214862135879,陈静,农业农村局,2025-05-17,12451.47,某餐饮公司,会议费,差旅住宿
152,6282339679384535,吴鑫,教育局,2025-04-05,7197.14,某广告公司,车辆加油,培训费
153,6282653813617346,孙丽,民政局,2025-04-12,14394.64,某会议中心,车辆维修,办公用品
154,6282712902522704,陈静,民政局,2025-06-07,2680.75,某汽车维修厂,公务接待,培训费
155,6282708134872852,王芳,人社局,2025-02-05,12309.5,某办公用品店,车辆加油,宣传费
156,6282641153981974,朱红,住建局,2025-03-14,13378.07,某旅行社,办公用品,车辆维修
157,6282547330328591,林雪,人社局,2025-04-22,8484.2,某办公用品店,培训费,会议费
158,6282977328591633,李娜,住建局,2025-01-09,7618.09,某会议中心,宣传费,车辆维修
159,6282334671914083,赵敏,住建局,2025-02-05,8196.18,某加油站,宣传费,车辆加油
160,6282169618955271,周杰,住建局,2025-06-23,488.46,某加油站,车辆加油,培训费
161,6282601437434005,胡兵,卫健委,2025-03-21,8747.61,某餐饮公司,差旅住宿,差旅住宿
162,6282186454356165,李娜,教育局,2025-05-06,11441.15,某广告公司,车辆加油,差旅住宿
163,6282133100592342,马超,民政局,2025-03-05,2079.24,某酒店,培训费,车辆加油
164,6282549524231929,孙丽,卫健委,2025-05-23,7680.94,某旅行社,会议费,印刷费
165,6282150079033721,周杰,农业农村局,2025-02-15,3795.28,某汽车维修厂,培训费,车辆加油
166,6282869099405722,陈静,人社局,2025-06-01,4463.3,某办公用品店,车辆加油,差旅住宿
167,6282360894029803,王芳,农业农村局,2025-01-01,14572.43,某酒店,公务接待,车辆维修
168,6282694654259737,林雪,农业农村局,2025-06-25,4150.72,某旅行社,印刷费,公务接待
169,6282139247459362,徐明,教育局,2025-04-09,4608.17,某旅行社,车辆加油,办公用品
170,6282986056590023,赵敏,人社局,2025-01-14,730.22,某汽车维修厂,宣传费,车辆加油
171,6282886819427203,马超,教育局,2025-05-07,5015.07,某旅行社,办公用品,办公用品
172,6282719978502945,朱红,人社局,2025-05-17,12279.48,某汽车维修厂,印刷费,公务接待
173,6282292255807393,吴鑫,农业农村局,2025-02-01,14059.01,某汽车维修厂,车辆加油,宣传费
174,6282719344506468,徐明,科技局,2025-03-15,8252.13,某酒店,宣传费,车辆加油
175,6282373020856565,吴鑫,交通局,2025-03-21,10703.3,某酒店,宣传费,宣传费
176,6282130538123840,孙丽,农业农村局,2025-03-03,14029.51,某旅行社,会议费,培训费
177,6282481933738314,徐明,卫健委,2025-03-09,5272.1,某加油站,差旅住宿,宣传费
178,6282128704176928,徐明,住建局,2025-06-17,9154.89,某会议中心,办公用品,印刷费
179,6282239518897737,王芳,人社局,2025-01-27,11983.11,某餐饮公司,会议费,宣传费
180,6282889562126615,黄磊,交通局,2025-05-26,5775.52,某汽车维修厂,宣传费,办公用品
181,6282969653324373,杨帆,卫健委,2025-06-04,12452.22,某会议中心,会议费,车辆维修
182,6282649992984944,徐明,民政局,2025-03-01,185.74,某加油站,印刷费,差旅住宿
183,6282951207534934,周杰,农业农村局,2025-03-16,14273.68,某汽车维修厂,印刷费,办公用品
184,6282530266796930,吴鑫,住建局,2025-06-26,12869.99,某旅行社,公务接待,差旅住宿
185,6282866043063978,李娜,农业农村局,2025-02-21,6340.58,某办公用品店,公务接待,车辆维修
186,6282491328232733,胡兵,科技局,2025-06-19,8386.54,某加油站,车辆加油,车辆加油
187,6282793381426888,朱红,卫健委,2025-04-06,1168.05,某旅行社,会议费,公务接待
188,6282625270973269,刘洋,科技局,2025-02-17,8803.87,某酒店,会议费,办公用品
189,6282551552997259,陈静,农业农村局,2025-02-24,12152.29,某会议中心,差旅住宿,差旅住宿
190,6282452634829517,孙丽,交通局,2025-05-16,8271.23,某办公用品店,会议费,公务接待
191,6282723595779983,王芳,农业农村局,2025-04-15,11700.22,某办公用品店,宣传费,公务接待
192,6282481922159864,张伟,农业农村局,2025-02-19,11816.46,某印刷厂,差旅住宿,差旅住宿
193,6282563678022112,杨帆,交通局,2025-05-26,13652.25,某加油站,车辆加油,车辆加油
194,6282753307894974,杨帆,卫健委,2025-05-11,10626.18,某广告公司,办公用品,会议费
195,6282217795882755,陈静,人社局,2025-06-08,8412.76,某酒店,车辆加油,印刷费
196,6282204491472737,李娜,人社局,2025-01-26,3739.16,某印刷厂,培训费,车辆加油
197,6282398170913848,王芳,卫健委,2025-05-27,11852.98,某会议中心,车辆维修,车辆维修
198,6282467449483279,马超,人社局,2025-03-02,5954.95,某办公用品店,宣传费,车辆维修
199,6282192963018477,胡兵,农业农村局,2025-03-09,13840.24,某印刷厂,宣传费,印刷费
200,6282989752700073,李娜,民政局,2025-03-08,7180.31,某汽车维修厂,办公用品,办公用品
201,6282930664156863,王芳,民政局,2025-02-21,10425.67,某会议中心,差旅住宿,培训费
202,6282740633794897,李娜,人社局,2025-03-20,3552.42,某印刷厂,公务接待,车辆维修
203,6282344510272499,陈静,住建局,2025-01-24,13219.01,某印刷厂,差旅住宿,差旅住宿
204,6282910692335978,徐明,卫健委,2025-03-15,8840.6,某会议中心,公务接待,印刷费
205,6282652920977295,马超,农业农村局,2025-04-16,1454.75,某广告公司,宣传费,车辆维修
206,6282562933858678,王芳,农业农村局,2025-01-18,12735.98,某旅行社,公务接待,公务接待
207,6282214929885607,林雪,民政局,2025-06-28,12990.61,某加油站,培训费,会议费
208,6282673036647609,胡兵,民政局,2025-04-06,12419.32,某酒店,差旅住宿,办公用品
209,6282972999079396,刘洋,教育局,2025-02-11,284.28,某酒店,会议费,印刷费
210,6282131316936191,孙丽,住建局,2025-05-18,13286.5,某加油站,办公用品,差旅住宿
211,6282868688219913,周杰,住建局,2025-02-22,199.9,某广告公司,会议费,宣传费
212,6282149329282012,李娜,卫健委,2025-01-09,12140.63,某加油站,宣传费,车辆维修
213,6282795797345518,孙丽,人社局,2025-03-09,448.44,某印刷厂,车辆维修,车辆维修
214,6282440567370693,王芳,民政局,2025-01-19,12169.98,某办公用品店,会议费,差旅住宿
215,6282373662464747,黄磊,卫健委,2025-04-05,890.46,某旅行社,宣传费,宣传费
216,6282771565544226,周杰,住建局,2025-04-01,2643.5,某汽车维修厂,宣传费,印刷费
217,6282495105153508,陈静,民政局,2025-02-28,7554.69,某印刷厂,培训费,车辆加油
218,6282204922194022,黄磊,民政局,2025-05-03,4262.56,某会议中心,办公用品,宣传费
219,6282944416371088,孙丽,卫健委,2025-03-22,12747.27,某广告公司,会议费,印刷费
220,6282321512376269,张伟,民政局,2025-05-19,11011.41,某会议中心,印刷费,差旅住宿
221,6282595895794495,杨帆,卫健委,2025-02-15,1576.87,某印刷厂,会议费,车辆维修
222,6282936838799247,王芳,人社局,2025-03-19,9922.03,某会议中心,差旅住宿,印刷费
223,6282548089691747,徐明,人社局,2025-01-17,10990.73,某会议中心,车辆加油,办公用品
224,6282268036350105,林雪,交通局,2025-04-24,7877.17,某印刷厂,印刷费,车辆加油
225,6282669070436857,朱红,农业农村局,2025-04-07,12064.86,某旅行社,印刷费,车辆维修
226,6282427322732741,王芳,住建局,2025-03-20,13915.84,某餐饮公司,公务接待,公务接待
227,6282595445521850,赵敏,交通局,2025-03-26,7085.28,某会议中心,印刷费,印刷费
228,6282196970617672,胡兵,科技局,2025-05-11,12929.78,某广告公司,办公用品,宣传费
229,6282611215424969,张伟,农业农村局,2025-06-28,10453.87,某会议中心,车辆加油,公务接待
230,6282622103395157,胡兵,住建局,2025-05-20,13090.72,某会议中心,车辆维修,办公用品
231,6282763809118183,孙丽,住建局,2025-05-24,1626.2,某印刷厂,会议费,培训费
232,6282445505553850,刘洋,科技局,2025-02-17,5019.86,某餐饮公司,车辆加油,宣传费
233,6282562226755495,王芳,农业农村局,2025-06-04,3698.33,某会议中心,印刷费,宣传费
234,6282939891106152,黄磊,农业农村局,2025-02-27,11132.12,某加油站,印刷费,培训费
235,6282399012289939,林雪,农业农村局,2025-02-26,14359.52,某餐饮公司,车辆维修,差旅住宿
236,6282469549255474,孙丽,住建局,2025-06-26,9801.27,某餐饮公司,车辆加油,办公用品
237,6282680093812335,赵敏,人社局,2025-02-04,12243.16,某加油站,宣传费,车辆维修
238,6282650317792680,王芳,交通局,2025-06-17,13109.23,某加油站,宣传费,公务接待
239,6282609864673681,马超,科技局,2025-01-22,7032.74,某汽车维修厂,会议费,宣传费
240,6282649564957470,陈静,交通局,2025-04-17,8018.14,某加油站,办公用品,公务接待
241,6282715393604899,徐明,住建局,2025-01-19,5030.25,某广告公司,差旅住宿,车辆维修
242,6282834761655711,陈静,科技局,2025-02-02,555.46,某汽车维修厂,车辆加油,差旅住宿
243,6282846633881426,张伟,住建局,2025-01-25,10939.34,某印刷厂,车辆加油,公务接待
244,6282258224547791,朱红,民政局,2025-04-23,5096.06,某会议中心,培训费,会议费
245,6282806561986382,张伟,卫健委,2025-03-21,12964.44,某广告公司,差旅住宿,办公用品
246,6282989126940461,胡兵,农业农村局,2025-05-03,9590.0,某旅行社,会议费,培训费
247,6282945313026994,徐明,教育局,2025-06-02,11277.33,某广告公司,办公用品,办公用品
248,6282999154861167,胡兵,卫健委,2025-03-26,11806.64,某旅行社,培训费,会议费
249,6282111304410521,吴鑫,科技局,2025-03-09,12712.41,某广告公司,培训费,会议费
250,6282263862026668,周杰,农业农村局,2025-01-26,7938.72,某酒店,印刷费,公务接待
251,6282405847092272,李娜,人社局,2025-06-14,6527.29,某汽车维修厂,差旅住宿,办公用品
252,6282735744229667,吴鑫,卫健委,2025-02-26,3128.41,某加油站,差旅住宿,印刷费
253,6282470703907422,孙丽,交通局,2025-05-09,7428.25,某汽车维修厂,车辆维修,印刷费
254,6282843696586185,林雪,人社局,2025-04-24,14008.49,某会议中心,会议费,公务接待
255,6282683129354770,马超,农业农村局,2025-05-18,9181.42,某餐饮公司,车辆维修,宣传费
256,6282991997478041,周杰,人社局,2025-04-15,9816.59,某旅行社,会议费,培训费
257,6282404317583610,周杰,住建局,2025-03-04,106.93,某汽车维修厂,培训费,车辆加油
258,6282458101100371,李娜,交通局,2025-03-12,8664.14,某加油站,办公用品,办公用品
259,6282394159154237,李娜,交通局,2025-03-13,5356.14,某会议中心,会议费,车辆加油
260,6282711479609344,李娜,人社局,2025-05-28,3691.52,某酒店,印刷费,公务接待
261,6282995313965736,赵敏,住建局,2025-02-24,6048.8,某汽车维修厂,办公用品,车辆维修
262,6282863889989220,孙丽,卫健委,2025-01-24,2140.57,某旅行社,会议费,会议费
263,6282144733312489,刘洋,民政局,2025-05-19,13233.6,某汽车维修厂,车辆维修,公务接待
264,6282955585838459,陈静,农业农村局,2025-02-18,2223.59,某办公用品店,车辆加油,车辆维修
265,6282497799679492,李娜,卫健委,2025-01-03,8561.73,某旅行社,印刷费,差旅住宿
266,6282836662819665,杨帆,农业农村局,2025-03-03,3092.45,某餐饮公司,车辆维修,印刷费
267,6282401800613589,杨帆,农业农村局,2025-05-28,84.72,某加油站,公务接待,办公用品
268,6282354282417871,徐明,科技局,2025-06-25,6646.01,某办公用品店,差旅住宿,宣传费
269,6282586100860726,杨帆,教育局,2025-05-15,14395.02,某加油站,办公用品,办公用品
270,6282136100797801,黄磊,农业农村局,2025-03-27,11457.75,某旅行社,会议费,印刷费
271,6282803038396370,吴鑫,民政局,2025-06-12,13551.74,某印刷厂,车辆加油,公务接待
272,6282641103877508,孙丽,卫健委,2025-02-21,6209.19,某会议中心,车辆维修,会议费
273,6282122018178620,张伟,农业农村局,2025-01-16,13009.12,某餐饮公司,会议费,办公用品
274,6282901022830739,张伟,卫健委,2025-06-02,13520.87,某广告公司,办公用品,培训费
275,6282734647976732,马超,卫健委,2025-06-19,922.07,某广告公司,宣传费,差旅住宿
276,6282220702442472,孙丽,卫健委,2025-01-27,11953.49,某旅行社,差旅住宿,宣传费
277,6282409506645330,黄磊,交通局,2025-02-13,8268.11,某印刷厂,宣传费,车辆加油
278,6282460149442811,陈静,交通局,2025-04-27,7371.74,某酒店,办公用品,办公用品
279,6282363698986500,李娜,民政局,2025-01-03,967.12,某酒店,差旅住宿,车辆加油
280,6282854505713883,杨帆,人社局,2025-01-07,2043.61,某加油站,办公用品,车辆维修
281,6282850552911287,杨帆,科技局,2025-02-14,3066.31,某餐饮公司,车辆加油,车辆维修
282,6282905435272284,林雪,科技局,2025-04-23,8409.89,某办公用品店,会议费,差旅住宿
283,6282367450879295,孙丽,科技局,2025-03-05,11427.85,某印刷厂,印刷费,差旅住宿
284,6282983403357183,黄磊,卫健委,2025-02-22,9922.16,某旅行社,办公用品,培训费
285,6282851814276898,孙丽,卫健委,2025-01-23,2047.7,某广告公司,公务接待,会议费
286,6282308590608665,王芳,交通局,2025-02-16,9958.77,某加油站,培训费,印刷费
287,6282777566017366,林雪,人社局,2025-06-05,2086.51,某办公用品店,宣传费,差旅住宿
288,6282390633172302,王芳,科技局,2025-01-16,1603.21,某餐饮公司,公务接待,车辆加油
289,6282831940063825,胡兵,民政局,2025-02-15,1787.17,某酒店,车辆维修,印刷费
290,6282296298766586,杨帆,交通局,2025-03-12,10474.46,某办公用品店,宣传费,公务接待
291,6282851314559799,黄磊,交通局,2025-02-13,4997.87,某加油站,公务接待,差旅住宿
292,6282762803092678,朱红,科技局,2025-05-12,9941.08,某汽车维修厂,宣传费,宣传费
293,6282663336904946,杨帆,教育局,2025-01-20,13164.6,某办公用品店,培训费,差旅住宿
294,6282462173025334,周杰,住建局,2025-04-05,1633.94,某旅行社,公务接待,办公用品
295,6282695592872640,张伟,人社局,2025-02-10,12507.05,某会议中心,办公用品,培训费
296,6282961045796505,吴鑫,科技局,2025-06-06,5118.62,某广告公司,培训费,公务接待
297,6282523079475901,杨帆,住建局,2025-06-11,8224.11,某酒店,宣传费,差旅住宿
